Customer_ID,First Name,Last Name,DOB,Customer Type,PAN,Product Name,Date_of_joining,Date_of_exit,Deceased_Flag,Gender,Martial_Status,PEP_Flag,CTF_Flag,Country_of_residence,Country_of_Origin,Risk_level,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
8606,RADDULAN,SAHIRON,21-05-1989,Individual,616-80-2609,P1,27-10-2008,03-06-2015,TRUE,M,Married,FALSE,FALSE,Philippines,Philippines,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
6462,AHMED,ABDULLAH,04-02-1963,Individual,868-73-9475,P2,18-04-2009,09-12-2019,TRUE,M,Married,FALSE,TRUE,Egypt,Egypt,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
9574,HASAN,IZZ-AL-DIN,24-04-1963,Retail Customer,544-43-6596,P3,18-07-2003,23-07-2020,TRUE,M,Married,FALSE,FALSE,Turkey,Kenya,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,AHLAM,Al-TAMIMI,14-04-1980,Ship,212-18-4907,P4,17-11-2013,28-08-2011,FALSE,F,Not Married,TRUE,TRUE,Turkey,Jordan,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
8903,RAMADAN,SHALLAH,01-01-1958,Retail Customer,849-66-0885,P5,10-04-2020,04-02-2014,FALSE,M,Married,TRUE,TRUE,Gaza Strip,Gaza Strip,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
9405,ABDELKARIM,MOHAMED,21-08-1986,Retail Customer,843-53-5347,P6,26-08-2001,10-06-2020,TRUE,M,Not Married,FALSE,FALSE,Syria,Saudi Arabia,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
6231,JOANNE,CHESIMARD,02-10-1952,Retail Customer,422-26-1413,P7,30-01-2020,15-06-2013,FALSE,M,Married,FALSE,FALSE,Indonesia,China,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
5738,ALI,ATWA,17-10-1988,Individual,642-12-7930,P8,12-05-2015,12-05-2007,FALSE,M,Married,FALSE,TRUE,China,Indonesia,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
8954,SAIF,ADEL,02-02-1963,Individual,490-43-5667,P9,16-07-2015,13-01-2009,TRUE,M,Married,TRUE,FALSE,Egypt,Honduras,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
7037,AYMAN ,ZAWAHIRI,03-09-1951,Individual,404-22-6711,P10,17-01-2008,31-08-2007,TRUE,M,Not Married,FALSE,TRUE,Iraq,Pakistan,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
9461,YASIN,Shipping Pvt. Ltd.,04-05-1960,Ship,731-65-3538,P11,12-09-2003,27-09-2016,FALSE,M,Married,FALSE,FALSE,Comoros,Bahamas,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,HUSAYN ,MUHAMMAD ,11-10-1936,Ship,578-99-9186,P12,03-06-2004,29-07-2011,TRUE,M,Married,TRUE,TRUE,Indonesia,Indonesia,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
7632,SAED,EL-HOORIE,07-12-1965,Ship,513-96-3069,P13,08-08-2003,16-02-2017,TRUE,M,Married,TRUE,TRUE,North Korea,China,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,SAJID,MIR,18-09-1978,Individual,712-24-4881,P14,08-05-2008,24-06-2007,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
8264,ABD,AWDA,22-12-1950,Individual,195-87-5084,P15,21-05-2000,27-07-2009,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,DANIEL,ANDREAS,20-03-1978,Ship,371-83-0649,P16,07-04-2003,19-12-2014,TRUE,M,Married,FALSE,FALSE,United States,United States,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
5952,HUSAM,ABD-AL-RA'UF,13-08-1958,Individual,358-39-2608,P17,08-09-2001,28-09-2012,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
9861,JABER,ELBANEH,06-06-1966,Individual,263-12-5394,P1,17-02-2008,05-02-2008,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
6373,IBRAHIM,SALIH,14-10-1966,Individual,113-72-8228,P2,15-12-2007,19-05-2012,FALSE,M,Not Married,TRUE,TRUE,Russia,Saudi Arabia,High,Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
7752,IBRAHIM,Nandi,26-07-1988,Private Organization,139-12-4435,P3,17-04-2015,11-05-2006,TRUE,M,Married,FALSE,TRUE,Portugal,France,Low,Not Fraud,,,,,,,,,,,,,,,,,,,,,,,,,,
