First_Name,Last_Name,DOB,Customer_Type,Identifier,Deceased_Flag,Gender,Martial_Status,PEP_Flag,CTF_Flag,Country_of_residence,Country_of_Origin,Product_name,Risk_level,Date_of_joining,Date_of_exit
asdsad,fdgdfgdfg,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P8,High,08-08-2003,16-02-2017
SAED,aaaaaa,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P9,Low,08-08-2003,16-02-2017
SAED,ELHOORIE,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P10,Low,08-08-2003,16-02-2017
SAJID,MIR,18-09-1978,1,712244881,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,P11,High,08-05-2008,24-06-2007
ABD,AWDA,22-12-1950,1,195875084,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,P12,Medium,21-05-2000,27-07-2009
DANIEL,ANDREAS,20-03-1978,3,371830649,TRUE,M,Married,FALSE,FALSE,United States,United States,P13,Low,07-04-2003,19-12-2014
HUSAM,ABDALRAUF,13-08-1958,1,358392608,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,P14,Medium,08-09-2001,28-09-2012
JABER,ELBANEH,06-06-1966,1,263125394,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,P15,Low,17-02-2008,05-02-2008
IBRAHIM,SALIH,14-10-1966,1,113728228,FALSE,M,Not Married,TRUE,TRUE,Russia,SauDiArabia,P16,Low,15-12-2007,19-05-2012
Nicolea,Hanse,28-01-1988,2,552973761,FALSE,F,Married,FALSE,FALSE,Thailand,Peru,Securities,Low,14-12-2019,02-02-2007
Donica,Rishworth,10-07-1992,2,474602354,FALSE,F,Married,FALSE,FALSE,Portugal,Russia,Forex,Medium,27-12-2000,03-11-2014
Hyacinthe,Goodding,30-01-2005,5,452023261,FALSE,M,Married,FALSE,FALSE,China,Indonesia,Freit,High,28-08-2008,05-06-2008
